ORM_NUMBER|ORM_ISSUE_DATE|IFSC_CODE|AD_CODE|ORM_DATE|ORM_AMOUNT|ORM_CURRENCY|INR_PAYABLE_AMOUNT|IE_CODE|PAN_NUMBER|BENEFICIARY_NAME|BENEFICIARY_COUNTRY|PURPOSE_CODE|REFERENCE_IRM
ORM99001|15/12/2024|HDFC3530829|7624039|15/12/2024|32895.79|USD|2478120.93|1000000001|ABCDE1001F|Beneficiary 1|USA|P0807|IRM88001
ORM99002|06/09/2025|HDFC1973060|9513358|06/09/2025|11520.21|USD|1346245.40|1000000002|ABCDE1002F|Beneficiary 2|USA|P0104|IRM88002
ORM99003|20/04/2024|HDFC8122250|1991709|20/04/2024|41515.75|USD|2846553.13|1000000003|ABCDE1003F|Beneficiary 3|Singapore|P0104|IRM88003
ORM99004|31/08/2025|HDFC7655194|1831970|31/08/2025|48836.50|USD|1705461.50|1000000004|ABCDE1004F|Beneficiary 4|UK|P0807|IRM88004
ORM99005|23/03/2025|HDFC3420198|2976225|23/03/2025|28974.77|EUR|2463088.97|1000000005|ABCDE1005F|Beneficiary 5|UK|P0104|IRM88005
ORM99006|05/09/2025|HDFC4151952|7247794|05/09/2025|5774.10|EUR|263343.81|1000000006|ABCDE1006F|Beneficiary 6|USA|S0001|IRM88006
ORM99007|16/08/2024|HDFC9328453|9920785|16/08/2024|21952.02|GBP|1439557.45|1000000007|ABCDE1007F|Beneficiary 7|UAE|P0807|IRM88007
ORM99008|20/11/2024|HDFC5167906|4015985|20/11/2024|35250.73|USD|319016.63|1000000008|ABCDE1008F|Beneficiary 8|Germany|S0001|IRM88008
ORM99009|08/06/2025|HDFC6762565|8530188|08/06/2025|15108.95|USD|424752.07|1000000009|ABCDE1009F|Beneficiary 9|UAE|P0104|IRM88009
ORM99010|04/03/2026|HDFC6738744|3549877|04/03/2026|46730.24|GBP|194485.19|1000000010|ABCDE1010F|Beneficiary 10|USA|S0001|IRM88010
ORM99011|27/08/2025|HDFC6263809|6706306|27/08/2025|35069.47|EUR|1530290.40|1000000011|ABCDE1011F|Beneficiary 11|UAE|P0104|IRM88011
ORM99012|28/05/2026|HDFC2570280|5528829|28/05/2026|24230.82|EUR|269799.93|1000000012|ABCDE1012F|Beneficiary 12|Germany|S0001|IRM88012
ORM99013|01/09/2025|HDFC8476611|5774720|01/09/2025|36114.76|EUR|1093255.35|1000000013|ABCDE1013F|Beneficiary 13|UAE|P0807|IRM88013
ORM99014|09/07/2024|HDFC2964541|9282794|09/07/2024|3888.77|GBP|457673.45|1000000014|ABCDE1014F|Beneficiary 14|UK|P0807|IRM88014
ORM99015|22/02/2025|HDFC9330000|2351929|22/02/2025|9151.95|GBP|1684364.53|1000000015|ABCDE1015F|Beneficiary 15|UK|P0807|IRM88015
ORM99016|21/06/2026|HDFC5671130|7967519|21/06/2026|49336.89|EUR|2661843.06|1000000016|ABCDE1016F|Beneficiary 16|UK|P0104|IRM88016
ORM99017|12/04/2024|HDFC3956442|3538365|12/04/2024|12365.89|USD|115224.13|1000000017|ABCDE1017F|Beneficiary 17|Singapore|P0104|IRM88017
ORM99018|14/10/2024|HDFC5730012|1068679|14/10/2024|8138.14|EUR|1158220.43|1000000018|ABCDE1018F|Beneficiary 18|Singapore|P0807|IRM88018
ORM99019|26/05/2024|HDFC9648511|1905850|26/05/2024|23375.54|EUR|2409789.51|1000000019|ABCDE1019F|Beneficiary 19|UAE|P0807|IRM88019
ORM99020|02/03/2025|HDFC7612236|2737064|02/03/2025|24594.62|GBP|261763.64|1000000020|ABCDE1020F|Beneficiary 20|USA|P0104|IRM88020
ORM99021|14/04/2025|HDFC3722995|2844290|14/04/2025|17662.63|USD|378948.43|1000000021|ABCDE1021F|Beneficiary 21|Singapore|P0104|IRM88021
ORM99022|21/07/2025|HDFC2702289|7100362|21/07/2025|31073.13|USD|2633050.54|1000000022|ABCDE1022F|Beneficiary 22|Singapore|P0807|IRM88022
ORM99023|19/06/2024|HDFC5232182|6828229|19/06/2024|30511.68|GBP|438699.31|1000000023|ABCDE1023F|Beneficiary 23|UAE|P0807|IRM88023
ORM99024|24/05/2025|HDFC9117398|6232013|24/05/2025|5208.35|USD|2269047.85|1000000024|ABCDE1024F|Beneficiary 24|Germany|P0807|IRM88024
ORM99025|16/05/2026|HDFC3708490|9662655|16/05/2026|2131.69|EUR|1136317.18|1000000025|ABCDE1025F|Beneficiary 25|Singapore|P0104|IRM88025
